commonweight,age,party,gender4,educ,race,faminc_new
0.418896998518061,48,Progressive Left,Woman,HS grad,Black,$10-20K
0.946650145895843,58,Religious Moderates,Man,4-year,Hispanic,$250-350K
0.194303472355493,80,Progressive Left,Woman,2-year,White,$30-40K
0.0832230377609804,25,Disillusioned Left,Woman,HS grad,White,$30-40K
0.596598494631787,71,Religious Moderates,Woman,HS grad,White,$30-40K
0.754509769904323,70,Moderate Left,Woman,Post-grad,Black,$120-150K
0.373967877490626,29,Progressive Left,Woman,4-year,Asian,$200-250K
0.522379471650298,60,Progressive Left,Woman,4-year,Black,$20-30K
2.02965670691165,36,MAGA Right,Man,HS grad,White,<10K
1.1605525869209,58,MAGA Right,Man,2-year,2+ races,$50-60K
0.138921406370873,61,Religious Moderates,Woman,Some college,Black,$10-20K
0.0113075903342658,49,Religious Moderates,Woman,Some college,Other,<10K
2.8140797270421,66,Traditional Right,Woman,HS grad,Native American,$30-40K
1.25886974649446,69,Faith-Based Conservatives,Woman,4-year,White,Prefer not to say
0.123252660028389,82,Traditional Right,Man,2-year,Black,$20-30K
1.3847612682949,69,Traditional Right,Woman,HS grad,White,$30-40K
1.27658584049554,36,Secular Moderates,Man,No HS,2+ races,<10K
0.197433724479712,78,Traditional Right,Woman,Some college,White,$30-40K
1.24916163289998,65,Traditional Right,Woman,No HS,White,<10K
0.149371253244168,82,Nationalist Right,Woman,HS grad,White,$10-20K
0.551757571378665,86,Traditional Right,Woman,HS grad,White,$40-50K
1.33569976143406,72,Nationalist Right,Woman,HS grad,White,$40-50K
0.57696139470097,78,Progressive Left,Woman,2-year,Black,$20-30K
1.76044794724846,69,Religious Moderates,Woman,Some college,2+ races,$30-40K
0.8092786638886,57,Progressive Left,Woman,HS grad,White,$70-80K
0.173945956914422,76,Traditional Right,Woman,HS grad,White,$20-30K
0.882474552248366,64,MAGA Right,Woman,HS grad,Hispanic,Prefer not to say
0.869908538297151,61,Religious Moderates,Woman,Some college,White,$40-50K
0.230238098067033,38,Progressive Left,Woman,2-year,White,$80-100K
1.50954445794377,26,Progressive Left,Woman,4-year,Asian,Prefer not to say
3.6830160161509,73,Progressive Left,Man,No HS,White,Prefer not to say
1.65344674662542,73,Nationalist Right,Man,HS grad,White,$40-50K
0.870811467312813,29,Disillusioned Left,Woman,Some college,White,$20-30K
0.252614305088897,37,MAGA Right,Woman,HS grad,White,<10K
1.23694845102027,76,Moderate Left,Woman,Post-grad,White,$150-200K
0.603930844410509,69,Religious Moderates,Man,HS grad,White,$80-100K
2.28308370762716,46,MAGA Right,Man,HS grad,White,$50-60K
0.543810368608869,67,Progressive Left,Woman,4-year,Black,$60-70K
0.843569573218093,71,Traditional Right,Man,HS grad,White,$30-40K
4.13495077852938,68,Religious Moderates,Man,HS grad,Asian,$10-20K
0.623573544721318,57,MAGA Right,Woman,HS grad,Black,$60-70K
2.26009845977443,45,MAGA Right,Woman,HS grad,White,Prefer not to say
0.00399019395383919,65,Religious Moderates,Woman,HS grad,Hispanic,$70-80K
0.676357221829822,25,Progressive Left,Woman,4-year,White,$30-40K
0.477310781959408,46,Moderate Left,Man,Post-grad,White,$50-60K
0.00340486297461271,64,Traditional Right,Man,HS grad,White,$20-30K
2.57565413440481,31,Traditional Right,Woman,Some college,Asian,$50-60K
0.878747860426555,60,Progressive Left,Woman,2-year,White,<10K
0.0635578346158479,53,Progressive Left,Woman,HS grad,White,$40-50K
0.35982211681809,72,Progressive Left,Man,Some college,Hispanic,$40-50K
0.0254792588929329,26,Moderate Left,Woman,4-year,Asian,Prefer not to say
1.32097708015,48,Progressive Left,Man,HS grad,Hispanic,$20-30K
0.384451038104827,58,Moderate Left,Man,HS grad,White,$20-30K
0.024235423130829,31,Traditional Right,Woman,Some college,White,$40-50K
0.646183318463139,52,Moderate Left,Woman,Some college,Black,$40-50K
1.26169703276391,41,MAGA Right,Woman,HS grad,White,Prefer not to say
0.436251869698775,52,Progressive Left,Man,Some college,Black,$30-40K
2.47135112712166,60,Disillusioned Left,Man,HS grad,White,$30-40K
0.756634264746474,66,Moderate Left,Woman,Some college,Black,$10-20K
2.59454121032568,57,Traditional Right,Woman,2-year,White,$120-150K
1.21251995629188,39,Moderate Left,Man,Post-grad,Hispanic,$120-150K
0.805179897208293,70,Religious Moderates,Man,HS grad,White,$40-50K
0.345764456911829,68,Disillusioned Left,Man,2-year,White,$30-40K
1.56831544911617,74,Traditional Right,Man,HS grad,White,$80-100K
0.306825776165437,42,Progressive Left,Woman,Some college,Black,$20-30K
1.67975043064877,32,Secular Moderates,Woman,HS grad,White,<10K
0.825646032890708,68,Religious Moderates,Man,2-year,Black,$10-20K
0.158235076497769,23,Moderate Left,Woman,Some college,White,Prefer not to say
0.591878695398832,71,Progressive Left,Woman,2-year,Black,$70-80K
0.107676807456356,52,Traditional Right,Man,HS grad,White,$60-70K
0.763098337904676,31,Moderate Left,Woman,Some college,White,$30-40K
2.05549591068839,62,MAGA Right,Woman,HS grad,White,$40-50K
1.37830364066704,71,Religious Moderates,Man,No HS,White,$40-50K
0.752443598976526,78,Religious Moderates,Woman,Post-grad,White,$80-100K
0.449368249676233,57,MAGA Right,Man,2-year,White,$20-30K
4.9484534535595,79,Moderate Left,Man,No HS,White,$30-40K
1.59485732600318,56,Faith-Based Conservatives,Man,HS grad,White,$60-70K
1.76668906072551,63,Moderate Left,Man,Some college,Black,$80-100K
0.202051671038567,50,Religious Moderates,Man,HS grad,Black,<10K
0.0300363030581192,48,Secular Moderates,Man,Post-grad,Black,$200-250K
2.54819194660525,44,Moderate Left,Man,Some college,White,$20-30K
2.35531954594387,20,Religious Moderates,Man,Some college,Black,$80-100K
0.425244125468124,73,MAGA Right,Woman,HS grad,Native American,$80-100K
0.572556694060672,76,Moderate Left,Man,2-year,White,$70-80K
0.30678321028521,59,Religious Moderates,Woman,Some college,Black,$10-20K
0.502286382327561,76,Progressive Left,Woman,HS grad,White,Prefer not to say
0.437204358309837,82,Progressive Left,Woman,Some college,Black,$20-30K
1.28301516452226,82,Nationalist Right,Woman,HS grad,White,$30-40K
0.384451038104827,65,Religious Moderates,Man,HS grad,White,$10-20K
4.54532277426321,76,Religious Moderates,Man,HS grad,Black,$20-30K
0.410729793929126,70,Nationalist Right,Woman,Some college,Hispanic,$120-150K
0.0209705667410681,50,Religious Moderates,Man,4-year,Hispanic,$120-150K
0.924673056952552,71,Religious Moderates,Man,HS grad,White,$50-60K
3.53613603130868,36,Nationalist Right,Woman,HS grad,White,$70-80K
1.87133084027525,40,Secular Moderates,Woman,HS grad,White,<10K
0.550311229312233,74,Nationalist Right,Woman,Some college,Black,$30-40K
0.990253829446753,45,Religious Moderates,Man,Post-grad,Asian,$150-200K
0.71079658062058,69,Disillusioned Left,Woman,HS grad,White,$120-150K
