variable,question,value,value_label
caseid,Case ID,NA,NA
tookpost,Took post-election survey,1,No
tookpost,Took post-election survey,2,Yes
commonweight,Weight - Common,NA,NA
commonpostweight,Weight - Common Post,NA,NA
vvweight,Weight - Validated Registered Voters,NA,NA
vvweight_post,Weight - Validated Registered Voters - Post,NA,NA
CCEStake,Consent to participate,1,Yes
CCEStake,Consent to participate,2,No
CCEStake,Consent to participate,8,skipped
CCEStake,Consent to participate,9,not asked
add_confirm,Confirm address,1,Yes
add_confirm,Confirm address,2,No
add_confirm,Confirm address,8,skipped
add_confirm,Confirm address,9,not asked
inputzip,Zip code,999999,not asked
birthyr,Birth Year,NA,NA
gender4,Gender,1,Man
gender4,Gender,2,Woman
gender4,Gender,3,Non-binary
gender4,Gender,4,Other
gender4,Gender,8,skipped
gender4,Gender,9,not asked
gender4_t,Gender - Other,NA,NA
educ,Education,1,No HS
educ,Education,2,High school graduate
educ,Education,3,Some college
educ,Education,4,2-year
educ,Education,5,4-year
educ,Education,6,Post-grad
educ,Education,8,skipped
educ,Education,9,not asked
race,Race,1,White
race,Race,2,Black
race,Race,3,Hispanic
race,Race,4,Asian
race,Race,5,Native American
race,Race,6,Two or more races
race,Race,7,Other
race,Race,8,Middle Eastern
race,Race,98,skipped
race,Race,99,not asked
race_other,"Race, other",NA,NA
hispanic,Hispanic,1,Yes
hispanic,Hispanic,2,No
hispanic,Hispanic,8,skipped
hispanic,Hispanic,9,not asked
multrace_1,Multiracial - White,1,selected
multrace_1,Multiracial - White,2,not selected
multrace_1,Multiracial - White,8,skipped
multrace_1,Multiracial - White,9,not asked
multrace_2,Multiracial - Black,1,selected
multrace_2,Multiracial - Black,2,not selected
multrace_2,Multiracial - Black,8,skipped
multrace_2,Multiracial - Black,9,not asked
multrace_3,Multiracial - Hispanic,1,selected
multrace_3,Multiracial - Hispanic,2,not selected
multrace_3,Multiracial - Hispanic,8,skipped
multrace_3,Multiracial - Hispanic,9,not asked
multrace_4,Multiracial - Asian,1,selected
multrace_4,Multiracial - Asian,2,not selected
multrace_4,Multiracial - Asian,8,skipped
multrace_4,Multiracial - Asian,9,not asked
multrace_5,Multiracial - Native American,1,selected
multrace_5,Multiracial - Native American,2,not selected
multrace_5,Multiracial - Native American,8,skipped
multrace_5,Multiracial - Native American,9,not asked
multrace_8,Multiracial - Middle Eastern,1,selected
multrace_8,Multiracial - Middle Eastern,2,not selected
multrace_8,Multiracial - Middle Eastern,8,skipped
multrace_8,Multiracial - Middle Eastern,9,not asked
multrace_97,Multiracial - Other,1,selected
multrace_97,Multiracial - Other,2,not selected
multrace_97,Multiracial - Other,8,skipped
multrace_97,Multiracial - Other,9,not asked
multrace_98,Multiracial - Don't know,1,selected
multrace_98,Multiracial - Don't know,2,not selected
multrace_98,Multiracial - Don't know,8,skipped
multrace_98,Multiracial - Don't know,9,not asked
comptype,Device type,1,"I am taking this survey on a smart phone (e.g., iPhone or Android phone)"
comptype,Device type,2,"I am taking this survey on a tablet (e.g., iPad)"
comptype,Device type,3,I am taking this survey on a desktop computer or laptop computer
comptype,Device type,8,skipped
comptype,Device type,9,not asked
votereg,Voter Registration Status,1,Yes
votereg,Voter Registration Status,2,No
votereg,Voter Registration Status,3,Don't know
votereg,Voter Registration Status,8,skipped
votereg,Voter Registration Status,9,not asked
votereg_f,Registered to vote,1,Yes
votereg_f,Registered to vote,2,No
votereg_f,Registered to vote,8,skipped
votereg_f,Registered to vote,9,not asked
