inputstate,state_name,party,weighted_n,n,pct,total,weighted_total,moe,majority
1,Alabama,Disillusioned Left,28.060285495244788,31,0.029271803431357567,901,958.6114350981554,0.011006956198860059,no
1,Alabama,Faith-Based Conservatives,102.81636716213357,78,0.10725551917874405,901,958.6114350981554,0.02020538302382625,no
1,Alabama,MAGA Right,31.845925965703145,35,0.03322089096761331,901,958.6114350981554,0.011702076756112975,no
1,Alabama,Moderate Left,101.17188364084545,98,0.10554003419590559,901,958.6114350981554,0.020062393519378365,no
1,Alabama,Nationalist Right,218.96890088085132,209,0.22842300108638947,901,958.6114350981554,0.027412789345540672,yes
1,Alabama,Progressive Left,64.78458841130944,91,0.06758169790106451,901,958.6114350981554,0.016391308340026268,no
1,Alabama,Religious Moderates,214.45268912482257,183,0.22371179945591202,901,958.6114350981554,0.02721132027299191,no
1,Alabama,Secular Moderates,52.90747390709884,60,0.055191782582565865,901,958.6114350981554,0.014910860850961495,no
1,Alabama,Traditional Right,143.60332051014635,116,0.14980347120044768,901,958.6114350981554,0.02330313107670457,no
2,Alaska,Disillusioned Left,2.6559353387177334,5,0.017683023988050627,128,150.19689734699745,0.022832590056841847,no
2,Alaska,Faith-Based Conservatives,6.578215628456198,10,0.043797280400930345,128,150.19689734699745,0.03545272693877382,no
2,Alaska,MAGA Right,2.691334531074764,4,0.0179187092317694,128,150.19689734699745,0.022981489140191536,no
2,Alaska,Moderate Left,24.420041025212466,22,0.16258685403331097,128,150.19689734699745,0.06392396242785224,no
2,Alaska,Nationalist Right,28.76345823979741,27,0.19150500941005233,128,150.19689734699745,0.06816788546622965,no
2,Alaska,Progressive Left,17.15970781019397,16,0.11424808443645929,128,150.19689734699745,0.055110150901782666,no
2,Alaska,Religious Moderates,36.81743493462951,14,0.24512779947491717,128,150.19689734699745,0.07452192861166808,yes
2,Alaska,Secular Moderates,6.297610626263511,7,0.0419290327396993,128,150.19689734699745,0.03472220911690803,no
2,Alaska,Traditional Right,24.813159212651872,23,0.1652042062848105,128,150.19689734699745,0.06433566034886773,no
4,Arizona,Disillusioned Left,82.30062771968846,93,0.049827055781758,1495,1651.7256825320842,0.011029845217062342,no
4,Arizona,Faith-Based Conservatives,119.11306300119216,88,0.0721143130853258,1495,1651.7256825320842,0.01311273994738942,no
4,Arizona,MAGA Right,105.67716278138883,89,0.0639798508305486,1495,1651.7256825320842,0.012405083315523846,no
4,Arizona,Moderate Left,209.37972855707102,212,0.12676422651253647,1495,1651.7256825320842,0.016865514328241685,no
4,Arizona,Nationalist Right,313.3257345594093,221,0.1896959875801429,1495,1651.7256825320842,0.019874149031590724,no
4,Arizona,Progressive Left,230.0732141798577,251,0.13929262989188196,1495,1651.7256825320842,0.017552028077537626,no
4,Arizona,Religious Moderates,234.914903679724,220,0.14222392141993037,1495,1651.7256825320842,0.017705523201749302,no
4,Arizona,Secular Moderates,24.063542857607434,42,0.014568728398482118,1495,1651.7256825320842,0.0060737857526063106,no
